PDT	PRP$	$	1
PDT	PRP$	JJ	4
PDT	PRP$	NNS	19
PDT	PRP$	NN	15
PDT	PRP$	VBN	1
PDT	NNP	NNP	1
PDT	JJ	JJ	1
PDT	DT	$	2
PDT	DT	CC	1
PDT	DT	``	3
PDT	DT	NNP	12
PDT	DT	,	8
PDT	DT	VBN	3
PDT	DT	JJS	1
PDT	DT	WP	1
PDT	DT	CD	5
PDT	DT	RBR	4
PDT	DT	.	4
PDT	DT	MD	1
PDT	DT	JJ	72
PDT	DT	NN	221
PDT	DT	NNS	86
PDT	DT	VBD	2
PDT	DT	RB	3
PDT	DT	IN	4
PDT	DT	VBZ	12
PDT	DT	JJR	1
PDT	DT	NNPS	1
PDT	DT	VBG	6
VBD|VBP	IN	CD	1
,	PDT	DT	14
,	CC	PDT	3
,	CC	CC	3
,	CC	NNP	545
,	CC	,	16
,	CC	WP$	1
,	CC	VBN	32
,	CC	WP	13
,	CC	RBR	14
,	CC	CD	670
,	CC	JJ	262
,	CC	PRP	555
,	CC	TO	46
,	CC	EX	37
,	CC	WRB	28
,	CC	RB	520
,	CC	FW	1
,	CC	WDT	12
,	CC	VBP	61
,	CC	JJR	34
,	CC	VBZ	155
,	CC	NNPS	5
,	CC	(	2
,	CC	$	475
,	CC	``	36
,	CC	:	2
,	CC	JJS	16
,	CC	LS	1
,	CC	VB	91
,	CC	MD	91
,	CC	NNS	209
,	CC	NN	251
,	CC	DT	917
,	CC	VBD	292
,	CC	RBS	4
,	CC	IN	464
,	CC	PRP$	115
,	CC	VBG	82
,	NNP	CC	605
,	NNP	``	5
,	NNP	:	68
,	NNP	NNP	3509
,	NNP	,	1642
,	NNP	VBN	3
,	NNP	RBR	1
,	NNP	CD	147
,	NNP	.	432
,	NNP	MD	92
,	NNP	JJ	37
,	NNP	PRP	4
,	NNP	NN	95
,	NNP	NNS	152
,	NNP	DT	5
,	NNP	VBD	684
,	NNP	RB	44
,	NNP	FW	2
,	NNP	''	1
,	NNP	IN	52
,	NNP	VBP	3
,	NNP	PRP$	1
,	NNP	VBZ	255
,	NNP	)	109
,	NNP	NNPS	113
,	NNP	(	6
,	NNP	VBG	1
,	NNP	POS	459
,	,	VB	1
,	WP$	$	3
,	WP$	RB	1
,	WP$	``	1
,	WP$	NNP	11
,	WP$	VBN	1
,	WP$	JJS	2
,	WP$	CD	4
,	WP$	JJ	28
,	WP$	NN	51
,	WP$	NNS	41
,	WP$	VBG	3
,	VBN	$	12
,	VBN	CC	18
,	VBN	``	8
,	VBN	NNP	43
,	VBN	,	10
,	VBN	VBN	2
,	VBN	WP	2
,	VBN	RBR	3
,	VBN	CD	5
,	VBN	RP	4
,	VBN	.	7
,	VBN	JJ	34
,	VBN	PRP	3
