------------------------------------------
Baseline:
Word Error Rate = 9.939794044491968
Known Word WER = 8.310907076143739
Unknown Word WER = 85.68273831431726
	NN	WDT	VB	PDT	JJS	PRP	VBP	JJ	RB	NNS	VBN	VBG	RP	NNPS	VBD	CC	IN	UH	PRP$	VBZ	NNP	RBR	LS	FW	POS	CD	JJR	EX	RBS	MD	$	DT	WP	SYM	NPS
CD	3.33	-	-	-	-	0.00	-	0.02	-	0.02	-	-	-	-	-	-	-	-	-	-	0.00	-	1.90	-	-	-	-	-	-	-	-	-	-	-	-
VBG	1.06	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.53	-	0.36	-	-	-	-	0.16	-	0.00	-	-	-	-	2.64	-	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	0.01	0.05	-	-	-	-	-	-	-	-	-
JJR	0.07	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	1.46	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.41	-	-	-	-	-	-	-	-	0.79	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	1.23	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	0.02	-	-	-	-	0.04	-	-	-	-	-	-	-	0.00	-	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-
JJS	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.41	-	-	-	-	-	-
FW	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.22	-	-	-	-	-	-	0.01	-	0.07	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
VBG|NN	0.00	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.02	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-
UH	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
JJ|NNP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.796446531377608
Known Word WER = 8.310907076143739
Unknown Word WER = 78.87375782112625
	NN	WDT	VB	VBG	PDT	JJS	PRP	VBP	JJ	RB	NNS	VBN	NNP	RP	NNPS	VBD	CC	IN	UH	PRP$	VBZ	RBR	LS	FW	POS	CD	JJR	EX	RBS	MD	$	DT	WP	SYM	NPS
VB	1.70	-	-	-	-	-	-	3.64	0.20	0.00	0.01	0.21	0.07	0.05	-	0.00	-	0.11	0.00	-	-	0.00	-	-	-	-	0.03	-	-	-	-	-	-	-	-
NNS	1.77	-	-	-	-	-	-	-	0.01	-	-	0.03	0.16	-	1.17	-	-	-	-	-	1.18	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-
IN	0.01	5.03	-	0.01	-	-	-	-	0.19	2.18	-	-	-	3.27	-	-	0.01	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	0.01	-	-	-
NN	-	-	7.90	3.94	0.13	0.01	0.01	1.86	3.46	0.27	0.43	0.28	1.50	0.03	0.02	0.02	0.00	0.03	0.09	-	-	-	0.07	0.16	-	0.12	0.01	-	-	0.03	-	-	-	-	-
JJ	4.54	-	0.46	1.01	0.89	0.03	0.01	0.01	-	1.13	0.08	1.65	0.77	0.10	0.49	0.26	0.00	0.04	0.00	0.00	-	0.17	1.00	0.02	-	0.00	0.01	-	0.02	0.00	-	-	-	-	-
DT	-	1.29	-	-	1.20	-	0.00	-	0.02	-	-	-	-	-	-	-	0.05	-	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.41	-	2.68	-	-	-	-	-	0.01	-	-	0.03	0.01	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
RB	0.12	0.00	0.08	-	0.14	0.02	-	-	0.82	-	-	-	0.03	2.15	-	-	0.12	1.17	0.71	-	-	0.34	0.14	-	-	-	0.02	0.14	-	-	-	-	-	-	-
NNP	4.71	-	0.03	0.08	0.00	0.03	-	0.08	1.24	0.00	0.13	0.11	-	0.03	2.32	-	0.00	0.03	0.02	0.00	0.00	0.00	0.45	0.10	0.01	0.03	0.03	-	-	0.00	0.02	0.09	-	-	-
VBD	0.26	-	0.20	-	-	-	-	-	0.00	-	-	6.88	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-
CD	0.06	-	-	-	-	-	0.00	-	0.02	-	0.02	0.00	3.32	-	-	-	-	-	-	-	-	-	1.92	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.52	-	0.37	-	-	-	-	-	0.16	-	0.00	-	0.02	-	-	2.68	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	0.01	0.05	-	-	-	-	-	-	-	-	-
JJR	0.07	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	1.48	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.37	-	-	-	-	-	-	-	-	-	0.80	-	0.02	-	0.03	-	-	-	-	-	-	-	-	-	1.24	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	0.02	-	-	-	-	0.04	-	-	-	-	-	-	-	0.00	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-
JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.45	-	-	-	-	-	-
VBG	0.39	-	-	-	-	-	-	-	0.01	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	-	-	-	-	-	0.01	-	0.07	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
VBG|NN	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	0.01	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.02	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-
UH	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
JJ|NNP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.630512099304958
Known Word WER = 3.747031818901377
Unknown Word WER = 45.712182554287814
	NN	NNS	VBP	WDT	RB	PRP	JJ	VBG	NNPS	VBN	IN	VB	JJR	VBZ	NNP	VBD	PDT	RBR	FW	RP	POS	UH	DT	CD	JJS	RBS	EX	CC	PRP$	WP	SYM	LS	MD	NPS
NNS	2.45	-	0.05	-	0.03	-	0.75	-	0.48	0.16	-	0.01	-	0.61	2.20	0.01	-	-	0.03	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-
JJ	3.29	0.15	0.08	-	1.38	0.03	-	0.56	-	1.72	0.11	0.31	0.05	0.01	3.22	0.13	0.10	-	0.18	0.08	-	-	-	0.53	0.01	-	-	0.01	0.01	-	-	-	-	-
IN	-	-	0.03	0.30	2.76	-	0.25	-	-	-	-	0.01	-	-	0.05	0.01	-	-	0.01	2.02	-	-	0.45	0.01	-	-	-	0.03	-	-	-	-	-	-
DT	0.08	-	-	0.50	0.40	0.01	0.05	-	-	-	0.66	-	-	-	0.03	-	0.15	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
VBN	0.31	0.03	0.01	-	0.01	-	2.89	0.11	-	-	-	0.11	-	-	0.31	2.87	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-
RB	0.58	0.01	-	-	-	-	1.74	0.03	-	0.11	3.07	0.11	0.01	-	0.35	-	0.03	0.31	0.03	1.84	-	0.08	0.11	0.06	0.01	-	0.08	0.15	-	-	-	-	-	-
VB	1.00	-	1.85	-	0.05	-	0.31	0.05	-	0.11	0.05	-	0.03	-	0.41	0.16	-	-	0.01	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-
NNP	1.87	0.33	0.01	-	0.05	-	2.39	0.06	2.24	0.08	0.03	0.06	-	0.05	-	-	-	-	0.11	-	0.03	0.01	0.13	0.23	0.05	-	-	-	-	-	-	0.01	0.01	-
NN	-	0.81	0.25	-	0.13	0.06	6.79	1.27	-	0.11	0.01	0.63	-	0.05	5.63	0.08	0.01	-	0.16	0.01	-	-	0.01	0.30	0.01	-	-	-	-	-	-	-	-	0.01
VBG	2.09	-	-	-	-	-	1.08	-	-	0.15	-	0.03	-	0.01	0.53	0.08	-	-	0.03	-	-	-	-	0.13	-	-	-	-	-	-	-	-	-	-
VBD	0.20	-	0.10	-	-	-	0.20	-	-	4.04	-	0.23	-	0.01	0.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	0.78	0.25	-	-	-	0.05	2.07	0.08	-	0.05	-	0.10	-	-	1.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
VBP	0.80	-	-	-	0.01	-	0.06	-	-	0.08	0.03	2.39	-	-	0.10	0.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-
RBR	-	-	-	-	0.20	-	0.01	-	-	-	0.01	-	1.23	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	0.03	-	0.21	-	-	-	-	-	-	-	0.01	-	-	0.80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.13	1.12	0.06	-	-	-	0.16	0.03	-	0.03	-	0.06	-	-	0.28	0.25	-	-	0.01	-	0.23	-	-	0.01	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	0.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.03	0.01	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	-	-	-	-	-	0.01	-	-	0.05	-	-	-	-	0.05	-	-	-	-	-
CC	-	-	-	-	0.21	-	-	-	-	-	0.03	-	-	-	-	-	0.03	0.03	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	0.41	-	-	-	-	-	0.83	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.11	0.40	-	-	-	-	0.16	-	-	0.01	-	-	-	-	1.48	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	0.01
FW	0.05	-	-	-	-	-	0.01	-	-	-	0.05	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
WDT	-	-	-	-	-	-	0.01	-	-	-	0.46	-	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-
UH	0.03	-	-	-	0.03	-	0.03	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.05	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.23	-	-	-	-	-	-	-	-
VBG|NN	0.03	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	0.08	-	-	-
MD	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.640585167794075
Known Word WER = 3.7573215133766027
Unknown Word WER = 45.712182554287814
	NN	NNS	VBP	WDT	RB	PRP	JJ	VBG	NNPS	VBN	IN	VB	JJR	VBZ	NNP	VBD	PDT	RBR	FW	RP	POS	UH	DT	CD	JJS	RBS	EX	CC	PRP$	WP	SYM	LS	MD	NPS
NNS	2.45	-	0.05	-	0.03	-	0.75	-	0.48	0.16	-	0.01	-	0.61	2.20	0.01	-	-	0.03	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-
JJ	3.28	0.15	0.08	-	1.38	0.03	-	0.56	-	1.71	0.11	0.31	0.05	0.01	3.22	0.13	0.10	-	0.18	0.08	-	-	-	0.53	0.01	-	-	0.01	0.01	-	-	-	-	-
IN	-	-	0.03	0.30	2.75	-	0.25	-	-	-	-	0.01	-	-	0.05	0.01	-	-	0.01	2.02	-	-	0.45	0.01	-	-	-	0.03	-	-	-	-	-	-
DT	0.08	-	-	0.50	0.40	0.01	0.05	-	-	-	0.66	-	-	-	0.03	-	0.15	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
VBN	0.31	0.03	0.01	-	0.01	-	2.88	0.11	-	-	-	0.11	-	-	0.31	2.87	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-
RB	0.58	0.01	-	-	-	-	1.73	0.03	-	0.11	3.07	0.11	0.01	-	0.35	-	0.03	0.31	0.03	1.83	-	0.08	0.11	0.06	0.01	-	0.08	0.15	-	-	-	-	-	-
VB	1.00	-	1.85	-	0.05	-	0.31	0.05	-	0.11	0.05	-	0.03	-	0.41	0.16	-	-	0.01	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-
NNP	1.87	0.33	0.01	-	0.05	-	2.38	0.06	2.23	0.08	0.03	0.06	-	0.05	-	-	-	-	0.11	-	0.03	0.01	0.13	0.23	0.05	-	-	-	-	-	-	0.01	0.01	-
NN	-	0.81	0.25	-	0.13	0.06	6.77	1.26	-	0.11	0.01	0.63	-	0.05	5.62	0.08	0.01	-	0.16	0.01	-	-	0.01	0.30	0.01	-	-	-	-	-	-	-	-	0.01
VBG	2.08	-	-	-	-	-	1.08	-	-	0.15	-	0.03	-	0.01	0.53	0.08	-	-	0.03	-	-	-	-	0.13	-	-	-	-	-	-	-	-	-	-
VBD	0.20	-	0.10	-	-	-	0.20	-	-	4.04	-	0.23	-	0.01	0.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	0.78	0.25	-	-	-	0.05	2.07	0.08	-	0.05	-	0.10	-	-	1.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
VBP	0.80	-	-	-	0.01	-	0.06	-	-	0.08	0.03	2.38	-	-	0.10	0.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-
RBR	-	-	-	-	0.20	-	0.01	-	-	-	0.01	-	1.23	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	0.03	-	0.21	-	-	-	-	-	-	-	0.01	-	-	0.80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.13	1.11	0.06	-	-	-	0.16	0.03	-	0.03	-	0.06	-	-	0.28	0.25	-	-	0.01	-	0.23	-	-	0.01	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	0.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.03	0.01	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	-	-	-	-	-	0.01	-	-	0.05	-	-	-	-	0.05	-	-	-	-	-
CC	-	-	-	-	0.21	-	-	-	-	-	0.03	-	-	-	-	-	0.03	0.03	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	0.41	-	-	-	-	-	0.83	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-	-	-	-
NNPS	0.11	0.40	-	-	-	-	0.16	-	-	0.01	-	-	-	-	1.48	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	0.01
FW	0.05	-	-	-	-	-	0.01	-	-	-	0.05	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-
WDT	-	-	-	-	-	-	0.01	-	-	-	0.46	-	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-
UH	0.03	-	-	-	0.03	-	0.03	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
