------------------------------------------
Baseline:
Word Error Rate = 9.880675434015414
Known Word WER = 8.281531658973883
Unknown Word WER = 84.00149868864743
	POS	VBP	RB	NN	JJ	NNP	PDT	RBR	NNPS	LS	VBN	VB	RP	WDT	NNS	VBG	RBS	VBD	VBZ	UH	IN	CD	CC	DT	JJR	JJS	MD	EX	FW	WP	PRP$	PRP
CD	-	-	-	0.03	0.03	-	3.37	-	-	-	1.64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	-	-	0.27	0.02	-	0.01	-	0.01	-	-	6.42	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	1.88	-	0.17	-	-	-	-	-	-	-	-	3.58	4.91	-	-	-	-	-	-	-	0.02	0.04	-	-	-	-	0.08	-	-	-
DT	-	-	-	-	0.01	-	-	1.45	-	-	-	-	-	-	1.20	-	-	-	-	0.70	-	-	0.11	-	-	-	-	-	-	-	-	-
NNS	-	-	-	1.52	0.04	-	0.09	-	-	1.40	-	0.01	-	-	-	-	-	-	1.53	-	-	0.14	-	-	-	-	-	-	-	-	-	-
RB	-	-	-	0.14	0.81	-	0.00	0.12	0.52	-	0.00	0.00	0.04	1.66	0.01	-	-	-	-	0.13	1.29	-	0.07	0.02	0.00	0.01	-	0.17	0.00	-	-	-
VBP	-	-	-	0.33	0.06	-	0.01	-	-	-	-	0.06	2.21	0.00	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	0.43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	0.12	0.08	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.02	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
PRP	0.01	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	0.08	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	0.05	-	-
''	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.07	-	-	-	-	0.03	0.01	-	-	-	-	-	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.07	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	0.03	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
RB|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.5055310259697094
Known Word WER = 3.6650526639128924
Unknown Word WER = 43.46197077557137
	RB	NNP	NNPS	DT	NN	VBN	JJ	VBG	PDT	VBZ	NNS	RP	VB	IN	VBD	CD	PRP	VBP	UH	JJR	RBR	FW	POS	CC	WP	JJS	LS	WDT	RBS	PRP$	NPS	''	EX	MD
JJ	1.58	3.40	-	0.01	3.03	1.82	-	0.47	0.10	-	0.15	0.01	0.17	0.05	0.15	0.57	0.03	0.08	0.03	-	0.01	0.12	-	0.01	-	0.03	-	-	-	-	0.03	-	-	-
NN	0.22	5.77	-	0.03	-	0.14	7.14	1.49	-	0.10	0.86	-	0.45	-	0.05	0.36	0.07	0.22	-	0.01	-	0.15	-	-	-	-	-	-	-	-	0.01	-	-	0.03
NNP	0.05	-	2.37	0.14	1.93	0.05	2.21	0.08	-	0.07	0.40	-	0.12	0.05	-	0.29	-	0.01	-	-	-	0.38	-	0.03	-	-	0.01	-	-	0.01	-	-	-	-
IN	2.66	0.05	-	0.66	0.03	-	0.22	-	-	-	-	2.51	0.01	-	-	-	-	-	-	-	-	0.01	-	0.03	-	-	-	0.22	-	-	-	-	-	-
NNS	0.05	2.23	0.57	-	2.14	0.08	0.96	0.01	-	0.63	-	-	0.07	-	-	0.15	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	0.01	-	-	-
VBD	-	0.31	-	-	0.22	4.17	0.17	0.03	-	0.01	-	-	0.17	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	0.36	-	-	2.14	0.17	1.61	-	-	0.01	0.01	-	0.07	-	0.01	0.08	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	0.35	-	0.15	0.66	0.19	1.42	0.01	0.03	-	0.03	1.49	0.05	3.12	-	-	-	0.01	0.01	0.03	0.42	-	-	0.07	-	0.03	-	-	-	-	-	-	0.03	-
VBN	0.03	0.35	-	-	0.50	-	3.16	0.12	-	0.01	0.01	-	0.12	-	2.93	0.07	-	0.05	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.63	0.05	-	-	0.10	-	0.01	-	0.31	-	-	-	-	0.75	-	-	-	-	-	-	-	-	-	0.10	-	-	-	0.52	-	-	-	-	-	-
RP	0.42	-	-	-	-	-	-	-	-	-	-	-	-	0.68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.10	0.45	-	-	1.17	0.05	0.19	0.03	-	-	-	-	-	0.03	0.08	0.10	-	1.66	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	0.33	-	-	0.14	-	0.14	0.05	-	-	1.05	-	0.01	-	0.08	0.01	-	0.10	-	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-	-
VBP	0.01	0.12	-	-	0.57	0.08	0.07	0.01	-	0.01	-	-	1.82	0.03	0.12	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	0.96	-	-	0.50	0.03	1.66	0.05	-	-	0.28	-	0.12	-	-	-	0.10	0.01	-	-	-	-	-	-	-	-	0.03	-	-	-	0.05	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.05	-	-	-	-	0.01	-	-	-	-	-	-	-	0.03	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.01	0.01	-	-	0.03	0.03	0.12	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-
JJR	0.01	0.05	-	-	-	0.01	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	0.72	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	1.56	-	-	0.12	-	0.07	-	-	-	0.19	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	0.14	-	-	0.05	-	0.08	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-
WDT	0.01	-	-	0.07	-	-	0.01	-	-	-	-	-	-	0.40	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-
PRP	-	0.03	-	-	0.08	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	0.07	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-
CC	0.12	-	-	0.15	-	-	-	-	-	-	0.03	-	-	0.05	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	0.03	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.10	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	0.01	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	0.01	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.52452167307601
Known Word WER = 3.683644682278573
Unknown Word WER = 43.49943799175721
	RB	NNP	NNPS	DT	NN	VBN	JJ	VBG	PDT	VBZ	NNS	RP	VB	IN	VBD	CD	PRP	VBP	UH	JJR	RBR	FW	POS	CC	WP	JJS	LS	WDT	RBS	PRP$	NPS	''	EX	MD
JJ	1.57	3.39	-	0.01	3.02	1.81	-	0.47	0.10	-	0.15	0.01	0.17	0.05	0.15	0.57	0.03	0.08	0.03	-	0.01	0.12	-	0.01	-	0.03	-	-	-	-	0.03	-	-	-
NN	0.22	5.75	-	0.03	-	0.13	7.11	1.48	-	0.10	0.85	-	0.45	-	0.05	0.36	0.06	0.22	-	0.01	-	0.15	-	-	-	-	-	-	-	-	0.01	-	-	0.03
NNP	0.05	-	2.36	0.13	1.92	0.05	2.20	0.08	-	0.06	0.40	-	0.12	0.05	-	0.29	-	0.01	-	-	-	0.38	-	0.03	-	-	0.01	-	-	0.01	-	-	-	-
IN	2.65	0.05	-	0.66	0.03	-	0.22	-	-	-	-	2.50	0.01	-	-	-	-	-	-	-	-	0.01	-	0.03	-	-	-	0.22	-	-	-	-	-	-
NNS	0.05	2.22	0.57	-	2.13	0.08	0.96	0.01	-	0.62	-	-	0.06	-	-	0.15	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	0.01	-	-	-
VBD	-	0.31	-	-	0.22	4.16	0.17	0.03	-	0.01	-	-	0.17	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	0.36	-	-	2.13	0.17	1.60	-	-	0.01	0.01	-	0.06	-	0.01	0.08	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	0.34	-	0.15	0.66	0.19	1.41	0.01	0.03	-	0.03	1.48	0.05	3.11	-	-	-	0.01	0.01	0.03	0.41	-	-	0.06	-	0.03	-	-	-	-	-	-	0.03	-
VBN	0.03	0.34	-	-	0.50	-	3.14	0.12	-	0.01	0.01	-	0.12	-	2.92	0.06	-	0.05	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.62	0.05	-	-	0.10	-	0.01	-	0.31	-	-	-	-	0.75	-	-	-	-	-	-	-	-	-	0.10	-	-	-	0.52	-	-	-	-	-	-
RP	0.41	-	-	-	-	-	-	-	-	-	-	-	-	0.68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.10	0.45	-	-	1.17	0.05	0.19	0.03	-	-	-	-	-	0.03	0.08	0.10	-	1.66	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	0.33	-	-	0.13	-	0.13	0.05	-	-	1.04	-	0.01	-	0.08	0.01	-	0.10	-	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-	-
VBP	0.01	0.12	-	-	0.57	0.08	0.06	0.01	-	0.01	-	-	1.81	0.03	0.12	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	0.97	-	-	0.50	0.03	1.66	0.05	-	-	0.27	-	0.12	-	-	-	0.10	0.01	-	-	-	-	-	-	-	-	0.03	-	-	-	0.05	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	0.05	-	-	-	-	0.01	-	-	-	-	-	-	-	0.03	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.01	0.01	-	-	0.03	0.03	0.12	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-
JJR	0.01	0.05	-	-	-	0.01	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	1.55	-	-	0.12	-	0.06	-	-	-	0.19	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
#	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	0.38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	0.13	-	-	0.05	-	0.08	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-
WDT	0.01	-	-	0.06	-	-	0.01	-	-	-	-	-	-	0.40	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-
PRP	-	0.03	-	-	0.08	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	0.06	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.13	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-
CC	0.12	-	-	0.15	-	-	-	-	-	-	0.03	-	-	0.05	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	0.03	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.10	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	0.01	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
